user_id,result
2000001555945280,0.0
2000001556645228,0.0
2000001558047804,0.0
2000001558146467,0.0
2000001558146878,0.0
2000001558147371,0.0
2000001559045233,0.0
2000001559245920,0.0
2000001559246037,0.0
2000001559247825,0.0
2000001559346813,0.0
2000001559347057,0.0
2000001559350860,0.0
2000001560745486,0.0
2000001560746099,0.0
2000001560845807,0.0
2000001560848190,0.0
2000001560946961,0.0
2000001560948645,0.0
2000001561045347,0.0
2000001561546188,0.0
2000001561550226,0.0
2000001561647887,0.0
2000001562345599,0.0
2000001563149780,0.0
2000001563151338,1.0
2000001563151533,0.0
2000001563151825,0.0
2000001563157455,0.0
2000001563159823,0.0
2000001563161046,0.0
2000001563162083,0.0
2000001563163750,1.0
2000001563165505,0.0
2000001563165665,0.0
2000001563245906,0.0
2000001563246001,0.0
2000001563248905,0.0
2000001563251104,0.0
2000001563253352,0.0
2000001563253700,0.0
2000001563256906,0.0
2000001563256927,0.0
2000001563258201,0.0
2000001563260466,0.0
2000001563260788,0.0
2000001563262015,0.0
2000001563266119,1.0
2000001563645322,0.0
2000001564045629,0.0
2000001564046463,0.0
2000001564046469,0.0
2000001564047465,0.0
2000001564047501,0.0
2000001564049575,0.0
2000001564049665,0.0
2000001564052381,0.0
2000001564052765,0.0
2000001564052965,0.0
2000001564053472,0.0
2000001564053974,0.0
2000001564146645,0.0
2000001564147250,0.0
2000001564148179,0.0
2000001564148255,0.0
2000001564150875,0.0
2000001564151893,0.0
2000001564152453,0.0
2000001564152837,0.0
2000001564154181,0.0
2000001564245229,0.0
2000001564845243,0.0
2000001564945517,0.0
2000001565346798,0.0
2000001565347081,0.0
2000001565445461,0.0
2000001565846053,0.0
2000001565846530,0.0
2000001565946744,0.0
2000001565946905,0.0
2000001565946955,0.0
2000001565947044,0.0
2000001566046975,1.0
2000001566047011,0.0
2000001566047339,0.0
2000001566047613,0.0
2000001566048375,0.0
2000001566049059,0.0
2000001566051046,0.0
2000001566052939,0.0
2000001566053624,0.0
2000001566146008,0.0
2000001566146411,0.0
2000001566147889,0.0
2000001566147897,0.0
2000001566148588,0.0
2000001566149620,0.0
2000001566149902,0.0
2000001566150890,0.0
2000001566153564,1.0
2000001566153624,0.0
2000001566154479,0.0
2000001566845957,0.0
2000001566846216,0.0
2000001566846825,0.0
2000001567045364,0.0
2000001567045439,0.0
2000001567045500,0.0
2000001567045844,0.0
2000001567847269,0.0
2000001567946430,0.0
2000001567947625,0.0
2000001568045228,0.0
2000001568045353,0.0
2000001568045384,0.0
2000001568045643,0.0
2000001568345819,0.0
2000001568346191,0.0
2000001568346195,0.0
2000001568347314,0.0
2000001568445704,0.0
2000001568446574,0.0
2000001568446575,0.0
2000001568446785,0.0
2000001568546961,0.0
2000001568547158,0.0
2000001568647957,0.0
2000001568648176,0.0
2000001568648802,0.0
2000001568649287,0.0
2000001568745893,0.0
2000001568746557,0.0
2000001568746723,0.0
2000001568748431,0.0
2000001568750241,0.0
2000001568845291,0.0
2000001568846093,0.0
2000001568846648,0.0
2000001568846992,0.0
2000001568847669,0.0
2000001568847694,0.0
2000001568848355,0.0
2000001568848686,0.0
2000001568849278,0.0
2000001568849948,0.0
2000001568850575,0.0
2000001568852229,0.0
2000001568854166,0.0
2000001568856344,0.0
2000001568856788,0.0
2000001568859625,0.0
2000001568859626,0.0
2000001568860847,0.0
2000001568860890,0.0
2000001568860934,0.0
2000001568863006,0.0
2000001568864890,0.0
2000001568869704,0.0
2000001568870087,0.0
2000001568870625,0.0
2000001568872497,0.0
2000001568872683,0.0
2000001568872882,0.0
2000001568946988,0.0
2000001568947583,1.0
2000001568949292,0.0
2000001568950173,0.0
2000001568950526,0.0
2000001568951121,0.0
2000001568952889,0.0
2000001568954864,0.0
2000001568956693,0.0
2000001568956738,0.0
2000001568957083,0.0
2000001568958465,0.0
2000001568959725,0.0
2000001568960056,0.0
2000001568960678,0.0
2000001568960769,0.0
2000001568962030,0.0
2000001568965447,0.0
2000001568966439,0.0
2000001568967774,0.0
2000001568967970,0.0
2000001568968952,0.0
2000001568970519,0.0
2000001568970557,0.0
2000001568971305,0.0
2000001568971321,0.0
2000001568971375,0.0
2000001568972535,0.0
2000001569545590,0.0
2000001569545840,0.0
2000001569845704,0.0
2000001569846101,0.0
2000001569847085,0.0
2000001569847874,0.0
2000001569852746,1.0
2000001569853221,0.0
2000001569853292,0.0
2000001569855107,0.0
